date,concentration,day,month,year,day_of_week,timestamp,month_sin,month_cos,years_since_start,season
2018-01-01,0.0,1,1,2018,0,1514764800.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-02,0.0,2,1,2018,1,1514851200.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-03,0.0,3,1,2018,2,1514937600.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-04,0.0,4,1,2018,3,1515024000.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-05,0.0,5,1,2018,4,1515110400.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-06,0.0,6,1,2018,5,1515196800.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-07,0.0,7,1,2018,6,1515283200.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-08,0.0,8,1,2018,0,1515369600.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-09,0.0,9,1,2018,1,1515456000.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-10,0.0,10,1,2018,2,1515542400.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-11,0.0,11,1,2018,3,1515628800.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-12,0.0,12,1,2018,4,1515715200.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-13,0.0,13,1,2018,5,1515801600.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-14,0.0,14,1,2018,6,1515888000.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-15,0.0,15,1,2018,0,1515974400.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-16,0.0,16,1,2018,1,1516060800.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-17,0.0,17,1,2018,2,1516147200.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-18,0.0,18,1,2018,3,1516233600.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-19,0.0,19,1,2018,4,1516320000.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-20,0.0,20,1,2018,5,1516406400.0,0.49999999999999994,0.8660254037844387,0,1
2018-01-21,0.0,21,1,2018,6,1516492800.0,0.49999999999999994,0.8660254037844387,0,1
